# This File stores the CDE (Cluster Distribution Entropy) using the clustering >>ClosestCenters<< of the given TrajNameList
# >> Nr of Cluster vs Time <<
# >> normalized Nr of Cluster vs Time <<
# >> Entropy vs Time <<
# >> normalized Entropy vs Time <<
# elapsed time = 0.87 seconds
#  ThresholdList = [0.1, 0.15]
#  TrajNameList = ['Met_Amber1_stripped', 'Met_Amber2_stripped']
#  TrjLenList = [1000, 1000]
#  updated TrjLenList = [1000, 1000]
#  TimeStep = 1
#  StartFrame = 0
#  EndingFrame = 1000
#                   |             Threshold = 0.1                |r=0.15
#    Frame | TrajNr | NrClusts | normNrClusts | CDE | normCDE | ... 
# 
131 1   49 0.34 3.5693 0.9171   15 0.65 2.1904 0.8088
132 1   49 0.34 3.5679 0.9168   15 0.65 2.1916 0.8093
133 1   49 0.34 3.5710 0.9176   15 0.65 2.1914 0.8092
134 1   49 0.34 3.5716 0.9177   16 0.70 2.2188 0.8003
135 1   49 0.34 3.5704 0.9174   16 0.70 2.2180 0.8000
136 1   50 0.35 3.5875 0.9170   16 0.70 2.2349 0.8061
137 1   50 0.35 3.5944 0.9188   16 0.70 2.2478 0.8107
138 1   51 0.35 3.6112 0.9185   16 0.70 2.2474 0.8106
139 1   51 0.35 3.6100 0.9181   16 0.70 2.2577 0.8143
140 1   52 0.36 3.6265 0.9178   17 0.74 2.2838 0.8061
141 1   52 0.36 3.6331 0.9195   17 0.74 2.2999 0.8118
142 1   52 0.36 3.6360 0.9202   17 0.74 2.3121 0.8161
143 1   52 0.36 3.6366 0.9204   17 0.74 2.3219 0.8195
144 1   52 0.36 3.6432 0.9220   17 0.74 2.3298 0.8223
145 1   52 0.36 3.6420 0.9217   17 0.74 2.3363 0.8246
146 1   53 0.37 3.6580 0.9213   17 0.74 2.3441 0.8274
147 1   53 0.37 3.6609 0.9221   17 0.74 2.3494 0.8292
148 1   53 0.37 3.6584 0.9214   17 0.74 2.3536 0.8307
149 1   53 0.37 3.6648 0.9231   17 0.74 2.3613 0.8334
150 1   53 0.37 3.6614 0.9222   17 0.74 2.3599 0.8330
151 1   53 0.37 3.6591 0.9216   17 0.74 2.3582 0.8324
152 1   53 0.37 3.6569 0.9211   17 0.74 2.3563 0.8317
153 1   53 0.37 3.6634 0.9227   17 0.74 2.3499 0.8294
154 1   54 0.38 3.6787 0.9222   17 0.74 2.3505 0.8296
155 1   55 0.38 3.6939 0.9218   17 0.74 2.3569 0.8319
156 1   56 0.39 3.7089 0.9214   17 0.74 2.3621 0.8337
157 1   57 0.40 3.7238 0.9210   17 0.74 2.3713 0.8370
158 1   57 0.40 3.7298 0.9225   17 0.74 2.3788 0.8396
159 1   57 0.40 3.7358 0.9240   17 0.74 2.3830 0.8411
160 1   57 0.40 3.7385 0.9247   17 0.74 2.3865 0.8423
161 1   57 0.40 3.7411 0.9253   17 0.74 2.3926 0.8445
162 1   57 0.40 3.7418 0.9255   17 0.74 2.3977 0.8463
163 1   58 0.40 3.7561 0.9251   17 0.74 2.4065 0.8494
164 1   58 0.40 3.7619 0.9265   17 0.74 2.4086 0.8501
165 1   59 0.41 3.7761 0.9261   17 0.74 2.4159 0.8527
166 1   59 0.41 3.7766 0.9262   17 0.74 2.4174 0.8532
167 1   60 0.42 3.7906 0.9258   17 0.74 2.4185 0.8536
168 1   60 0.42 3.7911 0.9259   17 0.74 2.4179 0.8534
169 1   60 0.42 3.7967 0.9273   17 0.74 2.4164 0.8529
170 1   60 0.42 3.7992 0.9279   17 0.74 2.4147 0.8523
171 1   60 0.42 3.8048 0.9293   17 0.74 2.4150 0.8524
172 1   60 0.42 3.8039 0.9291   17 0.74 2.4150 0.8524
173 1   61 0.42 3.8174 0.9286   17 0.74 2.4131 0.8517
174 1   61 0.42 3.8229 0.9299   17 0.74 2.4128 0.8516
175 1   62 0.43 3.8362 0.9295   17 0.74 2.4122 0.8514
176 1   62 0.43 3.8342 0.9290   17 0.74 2.4113 0.8511
177 1   63 0.44 3.8473 0.9286   17 0.74 2.4246 0.8558
178 1   63 0.44 3.8526 0.9299   17 0.74 2.4241 0.8556
179 1   63 0.44 3.8579 0.9312   17 0.74 2.4229 0.8552
180 1   63 0.44 3.8632 0.9324   17 0.74 2.4332 0.8588
181 1   63 0.44 3.8655 0.9330   17 0.74 2.4313 0.8582
182 1   63 0.44 3.8708 0.9343   17 0.74 2.4444 0.8628
183 1   63 0.44 3.8731 0.9348   17 0.74 2.4430 0.8623
184 1   63 0.44 3.8703 0.9341   17 0.74 2.4417 0.8618
185 1   63 0.44 3.8684 0.9337   17 0.74 2.4410 0.8616
186 1   63 0.44 3.8649 0.9328   17 0.74 2.4395 0.8610
187 1   63 0.44 3.8701 0.9341   17 0.74 2.4424 0.8620
188 1   63 0.44 3.8753 0.9354   17 0.74 2.4377 0.8604
189 1   63 0.44 3.8777 0.9359   17 0.74 2.4435 0.8625
190 1   63 0.44 3.8751 0.9353   17 0.74 2.4426 0.8621
191 1   63 0.44 3.8718 0.9345   17 0.74 2.4416 0.8618
192 1   63 0.44 3.8679 0.9336   17 0.74 2.4465 0.8635
193 1   63 0.44 3.8704 0.9342   17 0.74 2.4452 0.8630
194 1   63 0.44 3.8673 0.9334   17 0.74 2.4435 0.8624
195 1   63 0.44 3.8681 0.9336   17 0.74 2.4416 0.8618
196 1   63 0.44 3.8638 0.9326   17 0.74 2.4402 0.8613
197 1   63 0.44 3.8664 0.9332   17 0.74 2.4444 0.8628
198 1   64 0.44 3.8786 0.9326   17 0.74 2.4486 0.8643
199 1   64 0.44 3.8782 0.9325   17 0.74 2.4471 0.8637
200 1   65 0.45 3.8902 0.9319   17 0.74 2.4458 0.8632
201 1   66 0.46 3.9022 0.9314   17 0.74 2.4493 0.8645
202 1   66 0.46 3.9046 0.9320   17 0.74 2.4483 0.8641
203 1   66 0.46 3.9097 0.9332   17 0.74 2.4471 0.8637
204 1   66 0.46 3.9121 0.9338   17 0.74 2.4550 0.8665
205 1   67 0.47 3.9238 0.9332   17 0.74 2.4617 0.8689
206 1   68 0.47 3.9355 0.9327   18 0.78 2.4804 0.8581
207 1   69 0.48 3.9470 0.9322   18 0.78 2.4922 0.8623
208 1   69 0.48 3.9518 0.9333   18 0.78 2.5015 0.8655
209 1   69 0.48 3.9541 0.9339   18 0.78 2.5091 0.8681
210 1   70 0.49 3.9655 0.9334   18 0.78 2.5114 0.8689
211 1   70 0.49 3.9661 0.9335   18 0.78 2.5097 0.8683
212 1   70 0.49 3.9656 0.9334   18 0.78 2.5079 0.8677
213 1   70 0.49 3.9703 0.9345   18 0.78 2.5142 0.8699
214 1   70 0.49 3.9750 0.9356   18 0.78 2.5161 0.8705
215 1   70 0.49 3.9773 0.9362   18 0.78 2.5215 0.8724
216 1   70 0.49 3.9820 0.9373   18 0.78 2.5195 0.8717
217 1   71 0.49 3.9930 0.9367   18 0.78 2.5309 0.8756
218 1   72 0.50 4.0039 0.9362   18 0.78 2.5398 0.8787
219 1   73 0.51 4.0148 0.9357   18 0.78 2.5443 0.8803
220 1   73 0.51 4.0133 0.9354   18 0.78 2.5422 0.8795
221 1   73 0.51 4.0155 0.9359   18 0.78 2.5460 0.8808
222 1   74 0.51 4.0262 0.9354   18 0.78 2.5511 0.8826
223 1   75 0.52 4.0368 0.9350   18 0.78 2.5622 0.8865
224 1   76 0.53 4.0474 0.9346   18 0.78 2.5673 0.8882
225 1   76 0.53 4.0517 0.9356   18 0.78 2.5716 0.8897
226 1   77 0.53 4.0622 0.9352   19 0.83 2.5886 0.8791
227 1   77 0.53 4.0665 0.9362   19 0.83 2.5993 0.8828
228 1   77 0.53 4.0685 0.9366   19 0.83 2.6029 0.8840
229 1   77 0.53 4.0690 0.9367   19 0.83 2.6059 0.8850
230 1   77 0.53 4.0732 0.9377   19 0.83 2.6128 0.8874
231 1   77 0.53 4.0752 0.9382   19 0.83 2.6185 0.8893
232 1   77 0.53 4.0795 0.9391   19 0.83 2.6234 0.8910
233 1   77 0.53 4.0815 0.9396   19 0.83 2.6275 0.8923
234 1   77 0.53 4.0820 0.9397   19 0.83 2.6309 0.8935
235 1   77 0.53 4.0825 0.9399   20 0.87 2.6472 0.8836
236 1   77 0.53 4.0820 0.9397   20 0.87 2.6500 0.8846
237 1   77 0.53 4.0816 0.9396   20 0.87 2.6524 0.8854
238 1   77 0.53 4.0803 0.9393   20 0.87 2.6544 0.8861
239 1   77 0.53 4.0790 0.9390   20 0.87 2.6560 0.8866
240 1   78 0.54 4.0890 0.9385   20 0.87 2.6572 0.8870
241 1   78 0.54 4.0870 0.9381   20 0.87 2.6582 0.8873
242 1   78 0.54 4.0845 0.9375   20 0.87 2.6588 0.8875
243 1   78 0.54 4.0826 0.9371   20 0.87 2.6592 0.8877
244 1   78 0.54 4.0802 0.9365   20 0.87 2.6594 0.8877
245 1   79 0.55 4.0900 0.9361   20 0.87 2.6622 0.8887
246 1   80 0.56 4.0998 0.9356   20 0.87 2.6701 0.8913
247 1   80 0.56 4.1040 0.9365   20 0.87 2.6724 0.8921
248 1   80 0.56 4.1021 0.9361   20 0.87 2.6744 0.8927
249 1   80 0.56 4.1041 0.9366   20 0.87 2.6760 0.8933
250 1   80 0.56 4.1062 0.9370   20 0.87 2.6748 0.8929
251 1   80 0.56 4.1082 0.9375   20 0.87 2.6734 0.8924
252 1   80 0.56 4.1071 0.9373   20 0.87 2.6747 0.8929
253 1   80 0.56 4.1053 0.9369   20 0.87 2.6728 0.8922
254 1   80 0.56 4.1095 0.9378   20 0.87 2.6714 0.8917
255 1   80 0.56 4.1115 0.9383   20 0.87 2.6694 0.8911
256 1   80 0.56 4.1156 0.9392   20 0.87 2.6678 0.8905
257 1   80 0.56 4.1197 0.9401   20 0.87 2.6667 0.8902
258 1   80 0.56 4.1217 0.9406   20 0.87 2.6655 0.8898
259 1   81 0.56 4.1311 0.9401   20 0.87 2.6670 0.8903
260 1   81 0.56 4.1318 0.9402   20 0.87 2.6694 0.8911
261 1   82 0.57 4.1410 0.9397   20 0.87 2.6715 0.8918
262 1   82 0.57 4.1450 0.9406   20 0.87 2.6744 0.8927
263 1   82 0.57 4.1490 0.9415   20 0.87 2.6761 0.8933
264 1   82 0.57 4.1509 0.9420   20 0.87 2.6773 0.8937
265 1   82 0.57 4.1529 0.9424   20 0.87 2.6760 0.8933
266 1   82 0.57 4.1536 0.9426   20 0.87 2.6785 0.8941
267 1   82 0.57 4.1543 0.9427   20 0.87 2.6799 0.8946
268 1   83 0.58 4.1633 0.9422   20 0.87 2.6820 0.8953
269 1   84 0.58 4.1723 0.9417   20 0.87 2.6837 0.8959
270 1   84 0.58 4.1762 0.9425   20 0.87 2.6852 0.8963
271 1   84 0.58 4.1781 0.9430   20 0.87 2.6864 0.8967
272 1   84 0.58 4.1819 0.9438   20 0.87 2.6873 0.8970
273 1   84 0.58 4.1826 0.9440   20 0.87 2.6879 0.8973
274 1   84 0.58 4.1845 0.9444   20 0.87 2.6884 0.8974
275 1   84 0.58 4.1842 0.9443   20 0.87 2.6886 0.8975
276 1   84 0.58 4.1833 0.9441   20 0.87 2.6887 0.8975
277 1   84 0.58 4.1840 0.9443   20 0.87 2.6886 0.8975
278 1   84 0.58 4.1824 0.9439   20 0.87 2.6883 0.8974
279 1   84 0.58 4.1804 0.9435   20 0.87 2.6878 0.8972
280 1   84 0.58 4.1803 0.9435   20 0.87 2.6873 0.8970
281 1   84 0.58 4.1794 0.9433   20 0.87 2.6885 0.8974
282 1   84 0.58 4.1780 0.9429   20 0.87 2.6895 0.8978
283 1   84 0.58 4.1760 0.9425   20 0.87 2.6888 0.8975
284 1   84 0.58 4.1737 0.9420   20 0.87 2.6896 0.8978
285 1   84 0.58 4.1710 0.9414   20 0.87 2.6901 0.8980
286 1   84 0.58 4.1680 0.9407   20 0.87 2.6893 0.8977
287 1   84 0.58 4.1647 0.9399   20 0.87 2.6884 0.8974
288 1   84 0.58 4.1612 0.9391   20 0.87 2.6874 0.8971
289 1   84 0.58 4.1574 0.9383   20 0.87 2.6862 0.8967
290 1   84 0.58 4.1534 0.9374   20 0.87 2.6850 0.8963
291 1   84 0.58 4.1492 0.9364   20 0.87 2.6836 0.8958
292 1   84 0.58 4.1449 0.9355   20 0.87 2.6822 0.8953
293 1   84 0.58 4.1404 0.9344   20 0.87 2.6806 0.8948
294 1   84 0.58 4.1357 0.9334   20 0.87 2.6790 0.8943
295 1   84 0.58 4.1309 0.9323   20 0.87 2.6773 0.8937
296 1   84 0.58 4.1290 0.9319   20 0.87 2.6755 0.8931
297 1   84 0.58 4.1267 0.9314   20 0.87 2.6737 0.8925
298 1   84 0.58 4.1218 0.9303   20 0.87 2.6718 0.8919
299 1   84 0.58 4.1193 0.9297   20 0.87 2.6698 0.8912
300 1   84 0.58 4.1164 0.9290   20 0.87 2.6678 0.8905
301 1   84 0.58 4.1133 0.9283   20 0.87 2.6657 0.8898
302 1   84 0.58 4.1100 0.9276   20 0.87 2.6635 0.8891
303 1   84 0.58 4.1065 0.9268   20 0.87 2.6613 0.8884
304 1   84 0.58 4.1069 0.9269   20 0.87 2.6606 0.8881
305 1   84 0.58 4.1066 0.9268   20 0.87 2.6597 0.8878
306 1   84 0.58 4.1058 0.9266   20 0.87 2.6588 0.8875
307 1   84 0.58 4.1045 0.9264   20 0.87 2.6578 0.8872
308 1   84 0.58 4.1028 0.9260   20 0.87 2.6567 0.8868
309 1   84 0.58 4.1008 0.9255   20 0.87 2.6555 0.8864
310 1   84 0.58 4.0985 0.9250   20 0.87 2.6533 0.8857
311 1   84 0.58 4.0960 0.9244   20 0.87 2.6521 0.8853
312 1   84 0.58 4.0932 0.9238   20 0.87 2.6507 0.8848
313 1   84 0.58 4.0902 0.9231   20 0.87 2.6493 0.8844
314 1   84 0.58 4.0890 0.9229   20 0.87 2.6478 0.8839
315 1   84 0.58 4.0856 0.9221   20 0.87 2.6474 0.8837
316 1   84 0.58 4.0880 0.9226   20 0.87 2.6490 0.8843
317 1   84 0.58 4.0874 0.9225   20 0.87 2.6481 0.8839
318 1   84 0.58 4.0839 0.9217   20 0.87 2.6462 0.8833
319 1   84 0.58 4.0852 0.9220   20 0.87 2.6443 0.8827
320 1   84 0.58 4.0842 0.9218   20 0.87 2.6478 0.8839
321 1   85 0.59 4.0926 0.9212   20 0.87 2.6492 0.8843
322 1   85 0.59 4.0950 0.9217   20 0.87 2.6486 0.8841
323 1   85 0.59 4.0973 0.9223   20 0.87 2.6479 0.8839
324 1   85 0.59 4.0987 0.9226   20 0.87 2.6470 0.8836
325 1   85 0.59 4.0993 0.9227   20 0.87 2.6459 0.8832
326 1   85 0.59 4.1006 0.9230   20 0.87 2.6498 0.8845
327 1   86 0.60 4.1088 0.9224   20 0.87 2.6532 0.8857
328 1   86 0.60 4.1101 0.9227   20 0.87 2.6563 0.8867
329 1   86 0.60 4.1125 0.9233   20 0.87 2.6593 0.8877
330 1   86 0.60 4.1138 0.9236   20 0.87 2.6620 0.8886
331 1   86 0.60 4.1177 0.9244   20 0.87 2.6647 0.8895
332 1   86 0.60 4.1183 0.9246   20 0.87 2.6671 0.8903
333 1   86 0.60 4.1206 0.9251   20 0.87 2.6692 0.8910
334 1   86 0.60 4.1212 0.9252   20 0.87 2.6681 0.8906
335 1   86 0.60 4.1212 0.9252   20 0.87 2.6669 0.8902
336 1   86 0.60 4.1251 0.9261   20 0.87 2.6662 0.8900
337 1   86 0.60 4.1274 0.9266   20 0.87 2.6654 0.8897
338 1   86 0.60 4.1269 0.9265   20 0.87 2.6642 0.8893
339 1   86 0.60 4.1260 0.9263   20 0.87 2.6634 0.8891
340 1   86 0.60 4.1247 0.9260   20 0.87 2.6625 0.8888
341 1   86 0.60 4.1231 0.9256   20 0.87 2.6612 0.8883
342 1   86 0.60 4.1245 0.9259   20 0.87 2.6599 0.8879
343 1   86 0.60 4.1226 0.9255   20 0.87 2.6585 0.8874
344 1   86 0.60 4.1240 0.9258   20 0.87 2.6571 0.8870
345 1   86 0.60 4.1240 0.9258   20 0.87 2.6562 0.8867
346 1   86 0.60 4.1247 0.9260   20 0.87 2.6547 0.8862
347 1   86 0.60 4.1242 0.9259   20 0.87 2.6532 0.8857
348 1   86 0.60 4.1243 0.9259   20 0.87 2.6516 0.8851
349 1   86 0.60 4.1239 0.9258   20 0.87 2.6500 0.8846
350 1   86 0.60 4.1231 0.9256   20 0.87 2.6490 0.8843
351 1   86 0.60 4.1223 0.9255   20 0.87 2.6510 0.8849
352 1   86 0.60 4.1247 0.9260   20 0.87 2.6493 0.8844
353 1   86 0.60 4.1285 0.9269   20 0.87 2.6478 0.8839
354 1   87 0.60 4.1363 0.9262   20 0.87 2.6493 0.8844
355 1   87 0.60 4.1386 0.9267   20 0.87 2.6503 0.8847
356 1   87 0.60 4.1424 0.9276   20 0.87 2.6512 0.8850
357 1   87 0.60 4.1437 0.9279   20 0.87 2.6496 0.8845
358 1   87 0.60 4.1460 0.9284   20 0.87 2.6504 0.8847
359 1   87 0.60 4.1467 0.9285   20 0.87 2.6487 0.8842
360 1   87 0.60 4.1505 0.9294   20 0.87 2.6501 0.8846
